Edge of Tomorrow
12 Angry Men
Rush
The Social Network
Pulp Fiction
Groundhog Day
Event Horizon
Suzume
The Crucible
Ran
Pearl
Pride and prejudice
The room
Howls moving castle
Wolf of wall street
The substance
La la land
Sucker punch
Eternal sunshine of the spotless mind
Brokeback mountain?
Mullholland Drive
The Elephant Man
Walk Hard The Dewey Cox Story
Kung Fu Hustle
Modern Times
Dr Strangelove
Barry Lyndon
City of God
Memories of Murder
One Flew Over The Cuckoos Nest
